id,tenant_id,title,description,category,priority,status,building,floor,room,spot_description,preferred_date,preferred_time,safety_risk,previous_occurrence,notes,image_url,video_url,assigned_to,resolution_notes,cost,created_at,updated_at,resolved_at,status_history,previous_submissions,related_ticket_id,sla_hours,work_started_at,work_completed_at,work_duration_hours,tenant_satisfaction,tenant_feedback,manager_rejected_submissions,tenant_rejected_submissions,opex_code,ticket_number,sub_category,skip_tenant_approval,assigned_technicians,draft_data,approval_history,rejection_reason,timeline_events,target_date,photos,video,asset_id,created_by_user_id,creator_satisfaction,creator_feedback,root_cause,findings
012276ec-5c6e-4063-9bea-23851fb2bb13,d1edc7d1-105d-477e-8c05-45ad2d1e4815,check the running cupboard lock,"Kindly arrange one person to check the running cupboard lock. After the inspection, please share the quotation.",Carpentry,High,work_started,SEZ - A1 Block,Floor G,,,2026-03-12,Anytime,false,false,"Kindly arrange one person to check the running cupboard lock. After the inspection, please share the quotation.",,,Muni (General Maintenance),"

=== RCA ===
Root Cause: Need to change the handle .
Findings: lock - 3nos, handle - 1nos

=== ESTIMATION ===
Materials:
Item | Qty | Rate | GST% | GST Amt | Total
------------------------------------------------------------
pedestral lock | 3 NOS | ₹250.00 | 0% | ₹0.00 | ₹750.00
Handle(normal) | 1 NOS | ₹150.00 | 0% | ₹0.00 | ₹150.00
------------------------------------------------------------

Material Cost (without GST): ₹900.00
Total GST: ₹0.00
Material Cost (with GST): ₹900.00
Labor Hours: 0
Labor Cost: ₹0.00
Total: ₹900.00
Notes: New spares Need to change.",900,2026-03-12 05:11:07.164539+00,2026-05-04 10:08:46.503+00,,"
[3/13/2026, 3:36:43 PM] MANAGER APPROVED
[5/4/2026, 3:38:46 PM] WORK STARTED - SLA: 1 hours",,,1.00,2026-05-04 10:08:46.503+00,,,,,,,,RTP-26030013,,true,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-03-13,[],,,bb9ee02a-c016-4214-bd4d-3a0a1d1cc1a4,,,,
0160c690-619a-4d0a-837f-eb15b647c49f,8a658e42-7c75-4f63-814a-10861e47139b,Ac not working,Ground floor 4tr VRF ac not work and ac colling not flow.,HVAC,Critical,assigned,A1 Extension Block,Floor 1,"Data center ","GROUND FLOOR ",2026-04-19,Morning (8AM-12PM),false,false,DATA CENTER VERY IMPORTANT PLACE SO PLS NEED TO CHECK.,,,siva (HVAC Technician),Technicians: siva (HVAC Technician),0,2026-04-19 04:02:26.02125+00,2026-04-20 12:55:53.194+00,,,,,,,,,,,,,,RTP-26040030,,false,"[{""id"": ""229a573f-2169-41f7-ba5d-488f404cf327"", ""name"": ""siva"", ""contact"": ""+91 63832 73835"", ""specialization"": ""HVAC Technician""}]",{},,,[],2026-04-20,[],,,5a6f24a7-19ac-407b-9584-ace9dddd1cd1,,,,
01f5faa9-50ce-4ba1-801b-8555bf0fa894,ac5b417f-698d-4c0c-b4b7-bee90349440a,"Access Door and Main door issues ","
•	The main entrance glass door is closing very slowly. The door closer (swing mechanism) may need servicing or adjustment to increase the closing speed.
•	The access door is creating noise and vibration while closing. This may require inspection and repair.
",Carpentry,Medium,assigned,ADMIN Block,Floor 3,,,,,false,false,,,,Muni (General Maintenance),Technicians: Muni (General Maintenance),0,2026-03-09 12:11:29.949014+00,2026-03-13 05:25:27.609+00,,,,,,,,,,,,,,RTP-26030009,,false,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],,[],,,800427ac-399b-4a26-8744-c08c3354bb2b,,,,
0842eb56-f420-4187-b7a7-e163b6276d58,87ca3b19-061a-4557-935e-bbbedbd773a2,AC compressor gets automatically off,AC Compressor gets automatically off (kindly check high priority),HVAC,High,work_completed,ADMIN Block,Floor 3,VS,Visual sculptors,,,false,false,,,,Muni (General Maintenance),"

=== RCA ===
Root Cause: Need to check compressor condition.
Findings: 

=== ESTIMATION ===
Materials: None

Material Cost (without GST): ₹0.00
Total GST: ₹0.00
Material Cost (with GST): ₹0.00
Labor Hours: 0
Labor Cost: ₹0.00
Total: ₹0.00
Notes: ",0,2026-04-03 07:38:51.857518+00,2026-05-06 10:11:13.378+00,,"
[4/17/2026, 4:22:52 PM] MANAGER APPROVED
[5/6/2026, 3:41:11 PM] WORK STARTED - SLA: 1 hours
[5/6/2026, 3:41:13 PM] WORK COMPLETED - Duration: 0.00 hours",,,1.00,2026-05-06 10:11:11.744+00,2026-05-06 10:11:13.378+00,0.00,,,,,,RTP-26040004,,true,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],,[],,,4d389e69-d1c7-44dd-9875-64b413ed41d5,,,,
084d03d4-73ab-4214-8c37-42e69e9b570b,ed50cb46-49cf-4791-bc38-714caee083cb,Strip light not working,"Strip light in 2 areas are not working ",Electrical,High,work_completed,SEZ - A2 Block,Floor 1,2,,2026-04-01,Afternoon (12PM-4PM),false,false,,,,Muni (General Maintenance),"

=== RCA ===
Root Cause: drive serviced.
Findings: 

=== ESTIMATION ===
Materials: None

Material Cost (without GST): ₹0.00
Total GST: ₹0.00
Material Cost (with GST): ₹0.00
Labor Hours: 0
Labor Cost: ₹0.00
Total: ₹0.00
Notes: ",0,2026-04-01 05:56:30.006649+00,2026-04-21 04:41:54.571+00,,"
[4/7/2026, 3:06:05 PM] MANAGER APPROVED",,,1.00,2026-04-21 04:41:52.515+00,2026-04-21 04:41:54.571+00,0.00,,,,,,RTP-26040001,,true,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-04-01,[],,,a47294f9-cdb2-4bc6-a3f8-6ddfd005dbbb,,,,
154d3c00-b845-4a96-819c-d3619580075f,8a658e42-7c75-4f63-814a-10861e47139b,UPVC door dismantling issue.,4th floor service area UPVC door,Carpentry,High,assigned,A1 Extension Block,Floor 2,Service area one UPVC Door,"4th floor dishwashing machine area ",2026-04-13,Morning (8AM-12PM),false,false,"4th floor dishwashing machine area ",,,Muni (General Maintenance),Technicians: Muni (General Maintenance),0,2026-04-13 13:48:49.685584+00,2026-04-20 13:00:33.497+00,,,,,,,,,,,,,,RTP-26040022,,false,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-04-18,[],,,5a6f24a7-19ac-407b-9584-ace9dddd1cd1,,,,
17be8b5c-1b15-4767-8677-27410b916d14,d1edc7d1-105d-477e-8c05-45ad2d1e4815,Repair Required for Ground Floor Pantry Sink,"Hi Team ,
The wash basin in the pentry area on the ground floor continues to leak water. We have reported this issue multiple times, and although your team has visited and carried out patch work, the problem keeps recurring.
Due to the repeated leakage, the plywood and Gypsum Sheet are now getting damaged, and the situation has become quite serious.
It is worth mentioning that your team fixed this issue about eight months ago, yet the same problem persists. We request you to provide a permanent and proper solution at the earliest, as the recurring leakage is causing inconvenience and further damage.
Kindly treat this as urgent.",Others,Critical,work_completed,SEZ - A1 Block,Floor G,,,2026-03-12,,false,false,,,,Muni (General Maintenance),"Technicians: Muni

=== RCA ===
Root Cause: Outlet pipe blocked
Findings: clear the outlet pipe blockage  

=== ESTIMATION ===
Materials: None

Material Cost (without GST): ₹0.00
Total GST: ₹0.00
Material Cost (with GST): ₹0.00
Labor Hours: 6
Labor Cost: ₹1200.00
Total: ₹1200.00
Notes: span control (no laborer cost in nimble) ",1200,2026-03-12 05:20:10.415044+00,2026-05-04 08:16:23.801+00,,"
[4/21/2026, 1:34:51 PM] CHANGES REQUESTED BY HELPDESK - RESUBMISSION REQUIRED
[4/27/2026, 5:42:43 PM] APPROVED
[5/4/2026, 1:46:22 PM] WORK STARTED - SLA: 3 hours
[5/4/2026, 1:46:23 PM] WORK COMPLETED - Duration: 0.00 hours","[{""technicians"":[{""id"":""8adea6a8-15f4-4fdf-9f02-2787d78462ed"",""name"":""Muni"",""contact"":""7598191737"",""specialization"":""General Maintenance""}],""resolution_notes"":""Technicians: Muni (General Maintenance)\n\n=== RCA ===\nRoot Cause: Outlet pipe blocked\nFindings: clear the outlet pipe blockage  \n\n=== ESTIMATION ===\nMaterials: None\n\nMaterial Cost (without GST): ₹0.00\nTotal GST: ₹0.00\nMaterial Cost (with GST): ₹0.00\nLabor Hours: 6\nLabor Cost: ₹1200.00\nTotal: ₹1200.00\nNotes: span control (no labourer cost in nimble)"",""cost"":1200,""opex_code"":null,""change_requested_at"":""2026-04-21T08:04:51.857Z"",""change_requested_by"":""Helpdesk"",""previous_status"":""pending_approval""}]",,3.00,2026-05-04 08:16:22.188+00,2026-05-04 08:16:23.801+00,0.00,,,,,,RTP-26030014,,true,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-03-16,[],,,bb9ee02a-c016-4214-bd4d-3a0a1d1cc1a4,,,,
24785559-0e26-4828-920a-ea122c11ef92,75f3adcf-f53e-4ae1-b028-b51fe74001e2,"Urinary blockage issue ","2nd floor 1st and 2nd- Gents restroom urinary blockage issue ",Plumbing,Medium,pending_tenant_approval,SEZ - A2 Block,Floor 2,,,2026-03-30,Morning (8AM-12PM),false,false,,,,Muni (General Maintenance),"Technicians: Muni

=== RCA ===
Root Cause: pipe blockage need to clean.
Findings: 

=== ESTIMATION ===
Materials: None

Material Cost (without GST): ₹0.00
Total GST: ₹0.00
Material Cost (with GST): ₹0.00
Labor Hours: 2
Labor Cost: ₹400.00
Total: ₹400.00
Notes: ",400,2026-03-30 10:34:47.172104+00,2026-04-29 06:15:52.297+00,,"
[4/7/2026, 3:07:41 PM] MANAGER APPROVED
[4/24/2026, 3:31:26 PM] CHANGES REQUESTED BY HELPDESK - RESUBMISSION REQUIRED
[4/24/2026, 3:34:24 PM] CHANGES REQUESTED BY HELPDESK - RESUBMISSION REQUIRED
[4/29/2026, 11:45:52 AM] PENDING TENANT APPROVAL","[{""technicians"":[{""id"":""8adea6a8-15f4-4fdf-9f02-2787d78462ed"",""name"":""Muni"",""contact"":""7598191737"",""specialization"":""General Maintenance""}],""resolution_notes"":""\n\n=== RCA ===\nRoot Cause: pipe blockage need to clean.\nFindings: \n\n=== ESTIMATION ===\nMaterials: None\n\nMaterial Cost (without GST): ₹0.00\nTotal GST: ₹0.00\nMaterial Cost (with GST): ₹0.00\nLabor Hours: 0\nLabor Cost: ₹0.00\nTotal: ₹0.00\nNotes: "",""cost"":0,""opex_code"":null,""change_requested_at"":""2026-04-24T10:01:26.426Z"",""change_requested_by"":""Helpdesk"",""manager_approved_at"":""4/7/2026, 3:07:41 PM"",""previous_status"":""pending_tenant_approval""},{""technicians"":[{""id"":""8adea6a8-15f4-4fdf-9f02-2787d78462ed"",""name"":""Muni"",""contact"":""7598191737"",""specialization"":""General Maintenance""}],""resolution_notes"":""Technicians: Muni\n\n=== RCA ===\nRoot Cause: pipe blockage need to clean.\nFindings: \n\n=== ESTIMATION ===\nMaterials: None\n\nMaterial Cost (without GST): ₹0.00\nTotal GST: ₹0.00\nMaterial Cost (with GST): ₹0.00\nLabor Hours: 2\nLabor Cost: ₹400.00\nTotal: ₹400.00\nNotes: "",""cost"":400,""opex_code"":null,""change_requested_at"":""2026-04-24T10:04:24.498Z"",""change_requested_by"":""Helpdesk"",""manager_approved_at"":""4/7/2026, 3:07:41 PM"",""previous_status"":""pending_approval""}]",,,,,,,,,,,RTP-26030037,,false,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-03-30,[],,,688e09cf-4555-457d-9b25-d3db1aff8392,,,,
26700073-2b6f-4c72-8729-0eb5c7d12eb5,75f3adcf-f53e-4ae1-b028-b51fe74001e2,"Urinary blockage issue ","Ground floor Gents restroom urinary blockage issue ",Plumbing,High,work_completed,SEZ - A2 Block,Floor G,,,2026-03-30,Afternoon (12PM-4PM),false,false,,,,Muni (General Maintenance),"Technicians: Muni

=== RCA ===
Root Cause: Need to clear the blockage.
Findings: 

=== ESTIMATION ===
Materials: None

Material Cost (without GST): ₹0.00
Total GST: ₹0.00
Material Cost (with GST): ₹0.00
Labor Hours: 4
Labor Cost: ₹800.00
Total: ₹800.00
Notes: span control",800,2026-03-30 10:35:35.2071+00,2026-05-04 08:11:24.818+00,,"
[4/2/2026, 12:48:59 PM] MANAGER APPROVED
[4/24/2026, 3:17:55 PM] CHANGES REQUESTED BY HELPDESK - RESUBMISSION REQUIRED
[4/27/2026, 4:27:29 PM] APPROVED
[5/4/2026, 1:41:22 PM] WORK STARTED - SLA: 5 hours
[5/4/2026, 1:41:24 PM] WORK COMPLETED - Duration: 0.00 hours","[{""technicians"":[{""id"":""8adea6a8-15f4-4fdf-9f02-2787d78462ed"",""name"":""Muni"",""contact"":""7598191737"",""specialization"":""General Maintenance""}],""resolution_notes"":""\n\n=== RCA ===\nRoot Cause: Need to clear the blockage.\nFindings: \n\n=== ESTIMATION ===\nMaterials: None\n\nMaterial Cost (without GST): ₹0.00\nTotal GST: ₹0.00\nMaterial Cost (with GST): ₹0.00\nLabor Hours: 0\nLabor Cost: ₹0.00\nTotal: ₹0.00\nNotes: "",""cost"":0,""opex_code"":null,""change_requested_at"":""2026-04-24T09:47:55.208Z"",""change_requested_by"":""Helpdesk"",""manager_approved_at"":""4/2/2026, 12:48:59 PM"",""previous_status"":""pending_tenant_approval""}]",,5.00,2026-05-04 08:11:22.713+00,2026-05-04 08:11:24.818+00,0.00,,,,,,RTP-26030038,,true,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-03-30,[],,,688e09cf-4555-457d-9b25-d3db1aff8392,,,,
2722b542-ea71-49d8-9c7b-bd73e499f558,75f3adcf-f53e-4ae1-b028-b51fe74001e2,"Light dimming issue ",SEZ Ground floor pantry area light dimming issue,Electrical,Medium,pending_tenant_approval,SEZ - A2 Block,Floor G,,,2026-03-17,Anytime,false,false,,,,Muni (General Maintenance),"Technicians: Muni (General Maintenance)

=== RCA ===
Root Cause: drive issue
Findings: 15 w drive 6 no change

=== ESTIMATION ===
Materials:
Item | Qty | Rate | GST% | GST Amt | Total
------------------------------------------------------------
drive 18w | 6 NOS | ₹200.00 | 0% | ₹0.00 | ₹1200.00
------------------------------------------------------------

Material Cost (without GST): ₹1200.00
Total GST: ₹0.00
Material Cost (with GST): ₹1200.00
Labor Hours: 2
Labor Cost: ₹400.00
Total: ₹1600.00
Notes: span control",1600,2026-03-17 04:09:45.620362+00,2026-04-27 10:55:26.605+00,,"[4/27/2026, 4:25:26 PM] PENDING TENANT APPROVAL",,,,,,,,,,,,RTP-26030025,,false,"[{""id"": ""8adea6a8-15f4-4fdf-9f02-2787d78462ed"", ""name"": ""Muni"", ""contact"": ""7598191737"", ""specialization"": ""General Maintenance""}]",{},,,[],2026-03-17,[],,,688e09cf-4555-457d-9b25-d3db1aff8392,,,,
